line_number,content
1,All products | Books to Scrape - Sandbox
2,Books to Scrape We love being scraped!
3,Home
4,All products
5,Books
6,Travel
7,Mystery
8,Historical Fiction
9,Sequential Art
10,Classics
11,Philosophy
12,Romance
13,Womens Fiction
14,Fiction
15,Childrens
16,Religion
17,Nonfiction
18,Music
19,Default
20,Science Fiction
21,Sports and Games
22,Add a comment
23,Fantasy
24,New Adult
25,Young Adult
26,Science
27,Poetry
28,Paranormal
29,Art
30,Psychology
31,Autobiography
32,Parenting
33,Adult Fiction
34,Humor
35,Horror
36,History
37,Food and Drink
38,Christian Fiction
39,Business
40,Biography
41,Thriller
42,Contemporary
43,Spirituality
44,Academic
45,Self Help
46,Historical
47,Christian
48,Suspense
49,Short Stories
50,Novels
51,Health
52,Politics
53,Cultural
54,Erotica
55,Crime
56,All products
57,1000 results - showing 1 to 20.
58,Warning! This is a demo website for web scraping purposes. Prices and ratings here were randomly assigned and have no real meaning.
59,A Light in the ...
60,£51.77
61,In stock
62,Add to basket
63,Tipping the Velvet
64,£53.74
65,In stock
66,Add to basket
67,Soumission
68,£50.10
69,In stock
70,Add to basket
71,Sharp Objects
72,£47.82
73,In stock
74,Add to basket
75,Sapiens: A Brief History ...
76,£54.23
77,In stock
78,Add to basket
79,The Requiem Red
80,£22.65
81,In stock
82,Add to basket
83,The Dirty Little Secrets ...
84,£33.34
85,In stock
86,Add to basket
87,The Coming Woman: A ...
88,£17.93
89,In stock
90,Add to basket
91,The Boys in the ...
92,£22.60
93,In stock
94,Add to basket
95,The Black Maria
96,£52.15
97,In stock
98,Add to basket
99,Starving Hearts (Triangular Trade ...
100,£13.99
101,In stock
102,Add to basket
103,Shakespeare's Sonnets
104,£20.66
105,In stock
106,Add to basket
107,Set Me Free
108,£17.46
109,In stock
110,Add to basket
111,Scott Pilgrim's Precious Little ...
112,£52.29
113,In stock
114,Add to basket
115,Rip it Up and ...
116,£35.02
117,In stock
118,Add to basket
119,Our Band Could Be ...
120,£57.25
121,In stock
122,Add to basket
123,Olio
124,£23.88
125,In stock
126,Add to basket
127,Mesaerion: The Best Science ...
128,£37.59
129,In stock
130,Add to basket
131,Libertarianism for Beginners
132,£51.33
133,In stock
134,Add to basket
135,It's Only the Himalayas
136,£45.17
137,In stock
138,Add to basket
139,Page 1 of 50
140,next
