model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 X3,2020,8901,Manual,14912,Diesel,75,89.74,2.55
 6 Series,2016,13785,Automatic,53424,Petrol,83,4.41,2.44
 X5,2016,19963,Semi-Auto,-1836,Diesel,77,67.17,2.52
 4 Series,2014,2278,Automatic,28482,Hybrid,68,98.99,1.71
 5 Series,2018,51291,Semi-Auto,53131,Diesel,96,52.71,2.42
 2 Series,2018,10489,Semi-Auto,38716,Diesel,238,21.04,1.62
 1 Series,2013,-5084,Semi-Auto,26593,Diesel,66,56.38,1.39
 5 Series,2019,672,Automatic,-1780,Diesel,75,37.81,2.54
 4 Series,2022,29671,Semi-Auto,44856,Petrol,144,37.39,1.67
 1 Series,2016,30785,Semi-Auto,47275,Petrol,100,38.94,1.85
 3 Series,2013,20030,Automatic,83025,Diesel,196,75.26,3.76
 3 Series,2023,26558,Semi-Auto,7213,Petrol,138,78.78,2.04
 3 Series,2015,27567,Semi-Auto,4754,Hybrid,186,81.53,1.62
 X1,2018,29916,Manual,-5778,Petrol,94,73.03,2.02
 X1,2016,21326,Manual,20841,Diesel,75,95.95,1.87
 3 Series,2016,22815,Automatic,43667,Diesel,240,81.41,2.8
 2 Series,2016,14594,Automatic,78172,Diesel,14,-4.92,3.31
 X1,2017,21861,Manual,55067,Petrol,72,68.15,2.61
 X1,2018,16804,Automatic,-22846,Petrol,97,76.97,2.84
 4 Series,2013,30906,Manual,14821,Petrol,70,18.98,2.11
 1 Series,2013,41384,Automatic,28024,Diesel,53,41.26,1.8
 X2,2020,16484,Manual,10974,Diesel,168,25.86,2.58
 5 Series,2014,14958,Automatic,34775,Diesel,43,87.39,2.8
 3 Series,2018,18232,Automatic,28307,Diesel,99,69.38,2.07
 X3,2018,8305,Automatic,63956,Diesel,122,91.32,1.55
 X4,2019,28183,Semi-Auto,61499,Diesel,58,54.71,2.29
 1 Series,2014,16920,Automatic,61938,Diesel,220,7.12,2.31
 1 Series,2017,24512,Manual,44910,Petrol,216,63.21,2.67
 1 Series,2014,22850,Automatic,1137,Diesel,140,30.74,2.98
 4 Series,2017,28019,Automatic,20908,Diesel,155,52.69,0.98
 3 Series,2019,32310,Semi-Auto,-4341,Diesel,69,107.26,2.24
 5 Series,2015,22979,Automatic,-18220,Hybrid,164,68.79,2.06
 X5,2016,27971,Automatic,49475,Diesel,177,41.87,1.41
 3 Series,2018,31317,Automatic,25483,Diesel,176,52.48,2.72
 3 Series,2017,42844,Automatic,59851,Petrol,85,4.88,2.64
 4 Series,2016,13492,Manual,22393,Hybrid,112,-2.97,2.29
 M4,2014,27539,Manual,23827,Diesel,62,42.16,2.0
 2 Series,2015,13272,Manual,22752,Diesel,94,53.58,1.41
 3 Series,2016,26202,Manual,35872,Diesel,253,22.2,2.28
 4 Series,2014,25879,Automatic,7850,Petrol,182,122.28,2.1
 3 Series,2018,14512,Manual,34907,Petrol,76,32.93,0.98
 3 Series,2018,40719,Automatic,-33964,Diesel,68,95.87,1.58
 5 Series,2011,19787,Semi-Auto,46130,Petrol,175,77.37,2.71
 X5,2018,-5337,Semi-Auto,9064,Petrol,122,24.03,1.2
 1 Series,2014,33858,Automatic,21019,Petrol,100,48.87,2.75
 5 Series,2015,45594,Semi-Auto,11835,Diesel,124,42.62,2.34
 3 Series,2015,20750,Semi-Auto,40580,Diesel,77,68.44,1.73
 3 Series,2017,29618,Semi-Auto,46416,Diesel,110,109.72,2.91
 3 Series,2012,35781,Automatic,93078,Diesel,157,54.56,2.3
 3 Series,2017,13762,Semi-Auto,12560,Petrol,208,13.62,2.18
